,Sygnatura czasowa,Kod badanego,Testowany interfejs,1. Chciałbym często używać tego sposobu kontroli odtwarzania filmu,2. Używanie tego sposobu było niepotrzebnie skomplikowane,3. Używanie tego sposobu nie sprawiało mi problemów (było łatwe),"4. Potrzebował bym pomocy osoby ""technicznej"", aby używać tego sposobu kontroli.","5. Poszczególne elementy kontroli były łatwo dostępne, tworzyły spójną całość.",6. Poszczególne elementy sposobu kontroli nie były ze sobą zgodne (nie tworzyły spójnej całości),"7. Uważam, że każdy może bardzo szybko nauczyć się używać tego sposobu kontroli odtwarzani filmu.","8. Sposób był ""nieporęczny"", niewygodny.",9. Czułem się pewnie używając tego sposobu kontroli odtwarzania. Jego działanie było przewidywalne i zgodne z intuicją.,"10. Musiałem nauczyć się sporo nowych rzeczy, aby móc używać tego sposobu kontroli odtwarzania filmu.",Jakie elementy najbardziej przeszkadzały Ci w używaniu tego sposobu?,Jakie elementy były dobrze zaprojektowane (nie sprawiały kłopotów albo były przydatne)?,"Co można byłoby zmienić w tym sposobie kontroli odtwarzania filmu, aby go poprawić?"
10,2019-05-12 10:38:24,sub-09,Przyciski wzrokowe,zdecydowanie się zgadzam,raczej się nie zgadzam,raczej się zgadzam,raczej się nie zgadzam,zdecydowanie się zgadzam,zdecydowanie nie zgadzam się,zdecydowanie się zgadzam,raczej się nie zgadzam,raczej się zgadzam,raczej się nie zgadzam,zbyt duży rozmiar przycisków,"przyciski umieszczone blisko siebie, intuicyjne użytkowanie",rozmiar przycisków mógłby być trochę mniejszy
11,2019-05-12 11:09:06,sub-09,Obszary aktywowane przemieszczeniem spojrzenia,raczej się nie zgadzam,raczej się zgadzam,raczej się nie zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się nie zgadzam,nie mam zdania,nie mam zdania,nie mam zdania,raczej się zgadzam,niewidoczne przyciski (przewijanie w tył i zwiększanie głośności),zwiększanie głośności i przewijanie filmu tym sposobem pozwala na łatwiejsze ustawienie danej wartości,pokazać przyciski przewijania w tył i zwiększania głośności
12,2019-05-17 16:15:02,sub-02,Przyciski wzrokowe,raczej się zgadzam,zdecydowanie nie zgadzam się,raczej się zgadzam,zdecydowanie nie zgadzam się,raczej się zgadzam,zdecydowanie nie zgadzam się,nie mam zdania,zdecydowanie nie zgadzam się,raczej się zgadzam,zdecydowanie nie zgadzam się,"Nie widzialam dokladnie paska ladowania (kolka), nie moglam przeczytac tytulow filmow, bo automatycznie zaczynaly sie odtwarzac",rozmieszczenie przyciskow,"dodanie np. kolorowych punktow jako markery panelu bocznego po prawej ""numer strony 1-2"", inna forma ladowania kolek - staralam sie patrzec czy juz sie zaladowalo, wtedy kolko zaczynalo sie przesuwac np. w prawo, gdy mialam dac 25% (po prawej)"
13,2019-05-17 16:38:41,sub-02,Obszary aktywowane przemieszczeniem spojrzenia,zdecydowanie się zgadzam,zdecydowanie nie zgadzam się,raczej się zgadzam,raczej się nie zgadzam,nie mam zdania,nie mam zdania,zdecydowanie się zgadzam,raczej się nie zgadzam,zdecydowanie się zgadzam,raczej się nie zgadzam,"brak czasu na czytanie tytulow, przelaczanie panelu film-kontola moze nie byc intuicyjne",dzialanie przyciskow bylo blyskawiczne,-
14,2019-05-17 16:56:40,sub-02,Obszary aktywowane spojrzeniem,zdecydowanie się zgadzam,zdecydowanie nie zgadzam się,raczej się zgadzam,zdecydowanie nie zgadzam się,raczej się zgadzam,raczej się nie zgadzam,zdecydowanie się zgadzam,zdecydowanie nie zgadzam się,raczej się zgadzam,zdecydowanie nie zgadzam się,Przewijanie do tylu - nie widac kolka z ladowaniem,wszystko super :),dodac widoczne kolko po lewej :)
15,2019-05-19 11:24:04,sub-03,Obszary aktywowane spojrzeniem,raczej się nie zgadzam,zdecydowanie nie zgadzam się,raczej się zgadzam,raczej się nie zgadzam,raczej się zgadzam,raczej się nie zgadzam,zdecydowanie się zgadzam,nie mam zdania,raczej się nie zgadzam,raczej się nie zgadzam,Za szybko pojawiał się film z listy.,"Ściszanie/pogłaśnianie, przewijanie filmu do przodu,, zatrzymywanie filmu/przejście do interfejsu.",Zwiększyć czas potrzebny na wybranie filmu z listy.
16,2019-05-19 11:59:10,sub-03,Przyciski wzrokowe,nie mam zdania,zdecydowanie nie zgadzam się,zdecydowanie nie zgadzam się,raczej się zgadzam,raczej się zgadzam,raczej się nie zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,raczej się nie zgadzam,zdecydowanie nie zgadzam się,"pauza powinna być większa, i może klawisze przewijania gdzie indziej, bo nie dało się w nie trafić",kontrola głośności była ok,"większe obszary do przyciskania, czas wyboru filmów z listy wydłużyć"
17,2019-05-19 12:31:01,sub-03,Obszary aktywowane przemieszczeniem spojrzenia,zdecydowanie nie zgadzam się,raczej się zgadzam,zdecydowanie nie zgadzam się,zdecydowanie się zgadzam,raczej się zgadzam,raczej się nie zgadzam,zdecydowanie nie zgadzam się,zdecydowanie się zgadzam,raczej się nie zgadzam,raczej się nie zgadzam,nie mogłam użyć większości funkcji,umiejscowienie wszystkiego jest ok,fajnie by było jakby funkcje działały
18,2019-05-19 16:12:30,sub-04,Obszary aktywowane spojrzeniem,raczej się zgadzam,raczej się zgadzam,raczej się nie zgadzam,zdecydowanie nie zgadzam się,raczej się zgadzam,raczej się nie zgadzam,raczej się nie zgadzam,zdecydowanie się zgadzam,zdecydowanie nie zgadzam się,raczej się nie zgadzam,"Filmy z listy wybierały się zbyt szybko. Oglądający nie jest w stanie przeczytać tytułu filmu bez wybierania go. Przewijanie filmu do przodu jest w miejscu, które nie pozwala na zobaczenie i wybranie odpowiedniej sceny.","Zatrzymywanie i wznawianie filmu, ustawienie głośności. ","Inny sposób wybierania filmu z listy, przewijanie do przodu w innym miejscu. "
19,2019-05-19 16:37:16,sub-04,Obszary aktywowane przemieszczeniem spojrzenia,zdecydowanie nie zgadzam się,raczej się zgadzam,raczej się nie zgadzam,nie mam zdania,zdecydowanie nie zgadzam się,zdecydowanie się zgadzam,raczej się nie zgadzam,zdecydowanie się zgadzam,raczej się nie zgadzam,nie mam zdania,Ciągła konieczność wielokrotnego przemieszczania wzroku. Trudno skupic się na filmie. ,Zatrzymywanie i wznawianie filmu.,
