#GazePositionCoordinates;Int32;Double;EyeLaterality;GazeState;Double;Double;Double;Double;GazePositionCoordinates;Double;Double;Double;GazePositionCoordinates;Int32;Double;
#EndPosition;EndRecordIndex;EndTimeMiliseconds;EyeLaterality;GazeState;MaximalAcceleration;MaximalSpeed;MinimalAcceleration;MinimalSpeed;PositionAveraged;PositionDisplacement;PositionPathLength;PositionVariance;StartPosition;StartRecordIndex;StartTimeMiliseconds;
(644.68, 656.27);15;791368.855;Right;Saccade;110.254045991986;909.986289182425;0;1.76918060129543;(607.746875, 601.67375);33.1378695754571;1907.78151495906;107.803530127779;(671.4, 636.67);0;791105.561
(668.02, 649.4);13;791335.943;Left;Saccade;6.88762375442107;56.7161391921671;0.0124599429198224;0.120810913057528;(499.44375, 489.49375);6.58241596983969;1870.61557912432;349.78166892691;(664.13, 654.71);10;791270.12
(670.81, 657.16);23;791501.768;Left;Fixation;0.027330330257219;0.390392409085221;0.00553614118093243;0.0949714366072136;(668.9625, 646.703);8.24631432823171;36.484143487964;3.42199073242349;(668.02, 649.4);14;791335.943
(642.38, 670.12);23;791501.768;Right;Fixation;0.443149949816278;5.39022262991056;0.0721325387735418;0.766876782801507;(643.7125, 662.478125);14.0396759221857;25.8393664752385;5.3732565680869;(644.68, 656.27);16;791368.855
(675.22, 663.66);27;791568.604;Left;Saccade;6.75957112508783;56.568033444762;0.0152307859401962;0.124851563209099;(505.10625, 495.4475);7.85481381065145;1892.35185216366;352.803463568214;(670.81, 657.16);24;791501.768
(857.94, 465.79);58;792086.566;Right;Saccade;122.295933819279;1072.98633863624;0.0834981291828023;0.850411665018801;(772.6090625, 484.844375);297.01323623704;6288.33105630208;NaN;(642.38, 670.12);24;791501.768
(921.58, 653.02);38;791752.402;Left;Fixation;0.555113324536627;8.08553488766349;0.0140907937492336;0.109056431622775;(898.335454545454, 658.908181818182);246.589657528454;363.800009245673;45.5905907346664;(675.22, 663.66);28;791568.604
(904.25, 503.11);42;791819.238;Left;Saccade;7.73445789555197;66.7941074234941;0.0609024613540149;0.933048529930165;(684.04125, 433.77375);150.908372862476;2192.7982184685;420.407834150264;(921.58, 653.02);39;791752.402
(888.9, 495.23);53;792003.032;Left;Fixation;0.0438442821751385;0.406452432626413;0.00471273156952825;0.0556360990923203;(895.351363636364, 495.164545454545);17.2544747819225;39.7585971107932;6.80923908011174;(904.25, 503.11);43;791819.238
(887.64, 498.92);57;792069.859;Left;Saccade;7.28480298299367;60.9056652766901;0.00981963391719614;0.0683109607383514;(665.685, 372.39625);3.8991922240382;2037.36764207597;381.298286493705;(888.9, 495.23);54;792003.032
(861.56, 503.05);67;792236.927;Left;Fixation;0.0588490601667525;0.526762975705135;0.000851583579655562;0.14535815584535;(879.834, 497.8865);26.404986271536;48.7687285220315;7.54437685457386;(887.64, 498.92);58;792069.859
(847.84, 474.48);65;792203.514;Right;Fixation;0.514625172246571;6.57103492609804;0.145969274836748;0.851586754241724;(852.157142857143, 471.787857142857);13.323892074015;23.7835739015687;4.21036101591935;(857.94, 465.79);59;792086.566
(807.85, 512.27);78;792420.606;Right;Saccade;115.252861187657;964.1104097042;0.124983642259971;0.469574275274885;(767.319642857143, 461.510357142857);55.0207615359875;1985.69107807099;NaN;(847.84, 474.48);66;792203.514
(854.75, 520.86);71;792303.754;Left;Saccade;7.16569591600162;59.9997562135122;0.0215390809923982;0.169478883702132;(643.90875, 384.16375);19.0675693259524;2005.9146142645;374.578727428538;(861.56, 503.05);68;792236.927
(852.61, 531.57);82;792487.37;Left;Fixation;0.0270876827737497;0.513966036369911;0.00285901788973284;0.0658302104051668;(849.917272727273, 534.495);10.9217077419239;40.383450364379;6.25646167962192;(854.75, 520.86);72;792303.754
(926.43, 664.07);177;794072.978;Right;Blink;NaN;NaN;NaN;NaN;(0, 0);NaN;NaN;NaN;(808.23, 511.47);80;792437.297
(851.61, 508.5);93;792670.97;Left;Blink;NaN;NaN;NaN;NaN;(0, 0);NaN;NaN;NaN;(852.61, 531.57);83;792487.37
(848.74, 419.03);96;792721.043;Left;Fixation;0.131794222469232;3.16578363340876;0.0162573544956913;0.967547441831846;(850.801666666667, 452.985);89.5160197953417;89.584826520918;23.9144420581083;(851.61, 508.5);94;792670.97
(849.88, 406.66);100;792787.806;Left;Saccade;6.74295669570363;56.323174942686;0.00938786933035849;0.432115549757785;(635.87, 306.09875);12.4224192490834;1905.23865694803;353.492193021759;(848.74, 419.03);97;792721.043
(925.07, 463.64);111;792971.404;Left;Fixation;0.180754305549295;2.43677752055227;0.0187071386039989;0.228593578088554;(873.402272727273, 434.974545454545);94.3411707580524;207.42292743603;34.6620452950146;(849.88, 406.66);101;792787.806
(932.12, 467.46);115;793038.16;Left;Saccade;7.45456561404076;62.2537802248064;0.0198194027529657;0.267337266717109;(696.61375, 348.125);8.01841006683989;2086.7309527863;388.377783775558;(925.07, 463.64);112;792971.404
(972.94, 466.42);126;793221.74;Left;Fixation;0.108847678480256;1.41730818513416;0.0114816124078963;0.210577495132246;(935.409090909091, 468.620909090909);40.8332462584106;102.135426336055;7.66599677245181;(932.12, 467.46);116;793038.16
(951.8, 463.27);130;793288.505;Left;Saccade;7.63338478946029;64.2317525108432;0.179731198376976;1.00725201020645;(719.28, 347.55875);21.3733970159169;2170.03897623907;402.027527250668;(972.94, 466.42);127;793221.74
(992.18, 446.27);140;793455.417;Left;Fixation;0.127151656250114;1.12340606619368;0.00440429857211935;0.1245978931346;(974.772, 460.616);43.8126054920271;77.6369664050871;7.387076968441;(951.8, 463.27);131;793288.505
